Datum,Value
11.06.2016 17:00,10.43
11.06.2016 18:00,20.04
11.06.2016 19:00,7.4
11.06.2016 20:00,4.85
11.06.2016 21:00,-0.14
11.06.2016 22:00,7.39
11.06.2016 23:00,7.9
12.06.2016 00:00,19.96
12.06.2016 01:00,7.06
12.06.2016 02:00,6.08
12.06.2016 03:00,6.15
12.06.2016 04:00,4.7
12.06.2016 05:00,7.32
12.06.2016 06:00,16.01
12.06.2016 07:00,-4.2
12.06.2016 08:00,14.74
12.06.2016 09:00,8.62
12.06.2016 10:00,8.41
12.06.2016 11:00,2.93
12.06.2016 12:00,10.55
12.06.2016 13:00,10.66
12.06.2016 14:00,-0.53
12.06.2016 15:00,3.49
12.06.2016 16:00,8.73
12.06.2016 17:00,7.84
12.06.2016 18:00,7.17
12.06.2016 19:00,8.72
12.06.2016 20:00,7.66
12.06.2016 21:00,8.55
12.06.2016 22:00,5.81
12.06.2016 23:00,6.11
13.06.2016 00:00,7.48
13.06.2016 01:00,3.26
13.06.2016 02:00,6.88
13.06.2016 03:00,-0.85
13.06.2016 04:00,10.78
13.06.2016 05:00,9.78
13.06.2016 06:00,17.81
13.06.2016 07:00,15.6
13.06.2016 08:00,7.21
13.06.2016 09:00,12.61
13.06.2016 10:00,7.69
13.06.2016 11:00,7.08
13.06.2016 12:00,14.62
13.06.2016 13:00,2.47
13.06.2016 14:00,1.16
13.06.2016 15:00,23.55
13.06.2016 16:00,6.19
13.06.2016 17:00,14.7
13.06.2016 18:00,19.65
13.06.2016 19:00,12.9
13.06.2016 20:00,3.81
13.06.2016 21:00,12.31
13.06.2016 22:00,3.17
13.06.2016 23:00,6.82
14.06.2016 00:00,5.16
14.06.2016 01:00,4.47
14.06.2016 02:00,2.67
14.06.2016 03:00,2.25
14.06.2016 04:00,3.94
14.06.2016 05:00,6.96
14.06.2016 06:00,17.85
14.06.2016 07:00,5.3
14.06.2016 08:00,3.1
14.06.2016 09:00,9.02
14.06.2016 10:00,17.44
14.06.2016 11:00,0.19
14.06.2016 12:00,7.31
14.06.2016 13:00,8.27
14.06.2016 14:00,8.22
14.06.2016 15:00,4.68
14.06.2016 16:00,9.06
14.06.2016 17:00,10.25
14.06.2016 18:00,15.6
14.06.2016 19:00,6.5
14.06.2016 20:00,4.44
14.06.2016 21:00,1.03
14.06.2016 22:00,7.57
14.06.2016 23:00,5.57
15.06.2016 00:00,8.24
15.06.2016 01:00,2.94
15.06.2016 02:00,9.13
15.06.2016 03:00,17.66
15.06.2016 04:00,9.4
15.06.2016 05:00,4.55
15.06.2016 06:00,7.42
15.06.2016 07:00,10.8
15.06.2016 08:00,16.52
15.06.2016 09:00,11.52
15.06.2016 10:00,6.44
15.06.2016 11:00,2.71
15.06.2016 12:00,14.29
15.06.2016 13:00,13.77
15.06.2016 14:00,4.34
15.06.2016 15:00,19.6
15.06.2016 16:00,4.95
15.06.2016 17:00,12.13
15.06.2016 18:00,9.27
15.06.2016 19:00,17.13
15.06.2016 20:00,3.91
15.06.2016 21:00,7.97
15.06.2016 22:00,6.92
15.06.2016 23:00,6.97
16.06.2016 00:00,4.99
16.06.2016 01:00,11.03
16.06.2016 02:00,8.02
16.06.2016 03:00,6.55
16.06.2016 04:00,11.75
16.06.2016 05:00,10.1
16.06.2016 06:00,15.42
16.06.2016 07:00,25.17
16.06.2016 08:00,19.58
16.06.2016 09:00,20.43
16.06.2016 10:00,22.83
16.06.2016 11:00,15.34
16.06.2016 12:00,20.19
16.06.2016 13:00,24.2
16.06.2016 14:00,15.29
16.06.2016 15:00,12.06
16.06.2016 16:00,13.96
16.06.2016 17:00,13.64
16.06.2016 18:00,7.74
16.06.2016 19:00,11.76
16.06.2016 20:00,10.68
16.06.2016 21:00,10.92
16.06.2016 22:00,9.17
16.06.2016 23:00,3.17
17.06.2016 00:00,9.01
17.06.2016 01:00,3.7
17.06.2016 02:00,2.8
17.06.2016 03:00,-12.46
17.06.2016 04:00,6.25
17.06.2016 05:00,9.22
17.06.2016 06:00,0.67
17.06.2016 07:00,10.51
17.06.2016 08:00,15.68
17.06.2016 09:00,-2.65
17.06.2016 10:00,6.42
17.06.2016 11:00,5.94
17.06.2016 12:00,14.76
17.06.2016 13:00,7.81
17.06.2016 14:00,7.69
17.06.2016 15:00,15.3
17.06.2016 16:00,4.88
17.06.2016 17:00,8.71
17.06.2016 18:00,12.63
17.06.2016 19:00,13.21
17.06.2016 20:00,6.08
17.06.2016 21:00,12.73
17.06.2016 22:00,13.84
17.06.2016 23:00,10.23
18.06.2016 00:00,8.06
18.06.2016 01:00,7.55
18.06.2016 02:00,4.61
18.06.2016 03:00,13.48
18.06.2016 04:00,4.92
18.06.2016 05:00,5.43
18.06.2016 06:00,5.48
18.06.2016 07:00,-0.37
18.06.2016 08:00,1.92
18.06.2016 09:00,23.3
18.06.2016 10:00,4.25
18.06.2016 11:00,0
18.06.2016 12:00,17.46
18.06.2016 13:00,10.38
18.06.2016 14:00,12.97
18.06.2016 15:00,8.51
18.06.2016 16:00,NaN
