Start,Finish,Steps
02-Mar-2015 00:00,03-Mar-2015 00:00,1923.0
03-Mar-2015 00:00,04-Mar-2015 00:00,12021.0
04-Mar-2015 00:00,05-Mar-2015 00:00,6614.0
05-Mar-2015 00:00,06-Mar-2015 00:00,7476.0
06-Mar-2015 00:00,07-Mar-2015 00:00,6769.0
07-Mar-2015 00:00,08-Mar-2015 00:00,7187.0
08-Mar-2015 00:00,09-Mar-2015 00:00,6866.0
09-Mar-2015 00:00,10-Mar-2015 00:00,12599.0
10-Mar-2015 00:00,11-Mar-2015 00:00,8910.0
11-Mar-2015 00:00,12-Mar-2015 00:00,8418.0
12-Mar-2015 00:00,13-Mar-2015 00:00,9337.0
13-Mar-2015 00:00,14-Mar-2015 00:00,12686.0
14-Mar-2015 00:00,15-Mar-2015 00:00,12034.0
15-Mar-2015 00:00,16-Mar-2015 00:00,10928.0
16-Mar-2015 00:00,17-Mar-2015 00:00,8152.0
17-Mar-2015 00:00,18-Mar-2015 00:00,2336.0
18-Mar-2015 00:00,19-Mar-2015 00:00,1891.0
19-Mar-2015 00:00,20-Mar-2015 00:00,4281.0
20-Mar-2015 00:00,21-Mar-2015 00:00,2750.0
21-Mar-2015 00:00,22-Mar-2015 00:00,486.0
22-Mar-2015 00:00,23-Mar-2015 00:00,6144.0
23-Mar-2015 00:00,24-Mar-2015 00:00,2994.0
24-Mar-2015 00:00,25-Mar-2015 00:00,7926.0
25-Mar-2015 00:00,26-Mar-2015 00:00,10800.0
26-Mar-2015 00:00,27-Mar-2015 00:00,2571.0
27-Mar-2015 00:00,28-Mar-2015 00:00,18176.0
28-Mar-2015 00:00,29-Mar-2015 00:00,15359.0
29-Mar-2015 00:00,30-Mar-2015 00:00,4112.0
30-Mar-2015 00:00,31-Mar-2015 00:00,5394.0
31-Mar-2015 00:00,01-Apr-2015 00:00,6936.0
01-Apr-2015 00:00,02-Apr-2015 00:00,6395.0
02-Apr-2015 00:00,03-Apr-2015 00:00,5423.041378225
03-Apr-2015 00:00,04-Apr-2015 00:00,7631.958621775
04-Apr-2015 00:00,05-Apr-2015 00:00,5367.0
05-Apr-2015 00:00,06-Apr-2015 00:00,9836.0
06-Apr-2015 00:00,07-Apr-2015 00:00,8322.0
07-Apr-2015 00:00,08-Apr-2015 00:00,15008.0
08-Apr-2015 00:00,09-Apr-2015 00:00,4924.0
09-Apr-2015 00:00,10-Apr-2015 00:00,8745.0
10-Apr-2015 00:00,11-Apr-2015 00:00,12416.0
11-Apr-2015 00:00,12-Apr-2015 00:00,12461.0
12-Apr-2015 00:00,13-Apr-2015 00:00,9271.0
13-Apr-2015 00:00,14-Apr-2015 00:00,5056.0
14-Apr-2015 00:00,15-Apr-2015 00:00,16588.0
15-Apr-2015 00:00,16-Apr-2015 00:00,13969.0
16-Apr-2015 00:00,17-Apr-2015 00:00,6964.0
