Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
02-Mar-2015 00:00,03-Mar-2015 00:00,0.809808099350691,0.0,1923.0
03-Mar-2015 00:00,04-Mar-2015 00:00,5.18532929495941,15.0,12021.0
04-Mar-2015 00:00,05-Mar-2015 00:00,2.87508474921231,15.0,6614.0
05-Mar-2015 00:00,06-Mar-2015 00:00,3.30042648588474,20.0,7476.0
06-Mar-2015 00:00,07-Mar-2015 00:00,2.93605170025254,15.0,6769.0
07-Mar-2015 00:00,08-Mar-2015 00:00,3.05760040074588,3.0,7187.0
08-Mar-2015 00:00,09-Mar-2015 00:00,3.96941461467372,9.0,6866.0
09-Mar-2015 00:00,10-Mar-2015 00:00,5.61578496802452,13.0,12599.0
10-Mar-2015 00:00,11-Mar-2015 00:00,4.18695657193538,16.0,8910.0
11-Mar-2015 00:00,12-Mar-2015 00:00,3.97355430601534,14.0,8418.0
12-Mar-2015 00:00,13-Mar-2015 00:00,4.29386843710521,35.0,9337.0
13-Mar-2015 00:00,14-Mar-2015 00:00,5.66421085224967,20.0,12686.0
14-Mar-2015 00:00,15-Mar-2015 00:00,5.39781232282473,7.0,12034.0
15-Mar-2015 00:00,16-Mar-2015 00:00,4.8847779746243,7.0,10928.0
16-Mar-2015 00:00,17-Mar-2015 00:00,3.72593021592984,9.0,8152.0
17-Mar-2015 00:00,18-Mar-2015 00:00,1.05540032925323,6.0,2336.0
18-Mar-2015 00:00,19-Mar-2015 00:00,0.867723121874835,3.0,1891.0
19-Mar-2015 00:00,20-Mar-2015 00:00,1.95355627032806,10.0,4281.0
20-Mar-2015 00:00,21-Mar-2015 00:00,1.24020447136324,6.0,2750.0
21-Mar-2015 00:00,22-Mar-2015 00:00,0.209740544877416,0.0,486.0
22-Mar-2015 00:00,23-Mar-2015 00:00,2.71486365148515,11.0,6144.0
23-Mar-2015 00:00,24-Mar-2015 00:00,1.44852217528631,6.0,2994.0
24-Mar-2015 00:00,25-Mar-2015 00:00,3.69041050266444,17.0,7926.0
25-Mar-2015 00:00,26-Mar-2015 00:00,5.18316158633582,36.0,10800.0
26-Mar-2015 00:00,27-Mar-2015 00:00,1.28692187624269,8.0,2571.0
27-Mar-2015 00:00,28-Mar-2015 00:00,8.78447988745683,32.0,18176.0
28-Mar-2015 00:00,29-Mar-2015 00:00,6.51779855643058,23.0,15359.0
29-Mar-2015 00:00,30-Mar-2015 00:00,1.91602913982335,15.0,4112.0
30-Mar-2015 00:00,31-Mar-2015 00:00,2.5013000939347,6.0,5394.0
31-Mar-2015 00:00,01-Apr-2015 00:00,3.18501226927381,30.0,6936.0
01-Apr-2015 00:00,02-Apr-2015 00:00,3.04647800679249,9.0,6395.0
02-Apr-2015 00:00,03-Apr-2015 00:00,2.83351500863359,21.0,5423.041378225
03-Apr-2015 00:00,04-Apr-2015 00:00,3.45259051932055,35.0,7631.958621775
04-Apr-2015 00:00,05-Apr-2015 00:00,2.51907540948965,13.0,5367.0
05-Apr-2015 00:00,06-Apr-2015 00:00,4.01796701276374,22.0,9836.0
06-Apr-2015 00:00,07-Apr-2015 00:00,3.74022583114587,18.0,8322.0
07-Apr-2015 00:00,08-Apr-2015 00:00,6.7796568042625,31.0,15008.0
08-Apr-2015 00:00,09-Apr-2015 00:00,2.25210396285697,14.0,4924.0
09-Apr-2015 00:00,10-Apr-2015 00:00,3.90887218643056,11.0,8745.0
10-Apr-2015 00:00,11-Apr-2015 00:00,5.51148791060247,22.0,12416.0
11-Apr-2015 00:00,12-Apr-2015 00:00,5.58457980394475,15.0,12461.0
12-Apr-2015 00:00,13-Apr-2015 00:00,3.9003656148092,6.0,9271.0
13-Apr-2015 00:00,14-Apr-2015 00:00,2.23794291338582,14.0,5056.0
14-Apr-2015 00:00,15-Apr-2015 00:00,7.03849518810048,18.0,16588.0
15-Apr-2015 00:00,16-Apr-2015 00:00,5.95867011651921,23.0,13969.0
16-Apr-2015 00:00,17-Apr-2015 00:00,3.15355200628299,31.0,6964.0
17-Apr-2015 00:00,18-Apr-2015 00:00,3.47645997375372,15.0,7756.0
18-Apr-2015 00:00,19-Apr-2015 00:00,3.56104102044092,8.0,7657.0
19-Apr-2015 00:00,20-Apr-2015 00:00,5.62007252644603,13.0,12334.0
20-Apr-2015 00:00,21-Apr-2015 00:00,3.63382876112839,11.0,8042.18886351676
21-Apr-2015 00:00,22-Apr-2015 00:00,2.43402248757804,13.0,5336.81113648324
22-Apr-2015 00:00,23-Apr-2015 00:00,3.52173929253151,25.0,8081.0
23-Apr-2015 00:00,24-Apr-2015 00:00,5.20179029467953,39.0,8137.0
24-Apr-2015 00:00,25-Apr-2015 00:00,7.95427205122078,13.0,17835.0
25-Apr-2015 00:00,26-Apr-2015 00:00,3.44676464447682,5.0,6987.0
26-Apr-2015 00:00,27-Apr-2015 00:00,3.52975498091167,8.0,7974.0
27-Apr-2015 00:00,28-Apr-2015 00:00,2.23531451324339,10.0,4338.0
28-Apr-2015 00:00,29-Apr-2015 00:00,4.21121276743902,16.0,8416.0
29-Apr-2015 00:00,30-Apr-2015 00:00,2.01621903085969,10.0,4336.0
30-Apr-2015 00:00,01-May-2015 00:00,3.52783494392732,13.0,8006.0
01-May-2015 00:00,02-May-2015 00:00,4.15138714904963,23.0,9026.0
02-May-2015 00:00,03-May-2015 00:00,2.47774615012017,6.0,5226.26103669677
03-May-2015 00:00,04-May-2015 00:00,4.52903425233,39.0,11532.7389633032
04-May-2015 00:00,05-May-2015 00:00,1.86614546051099,0.0,4024.0
05-May-2015 00:00,06-May-2015 00:00,4.14240212160936,18.0,8958.0
06-May-2015 00:00,07-May-2015 00:00,4.25280222699666,7.0,8765.0
07-May-2015 00:00,08-May-2015 00:00,3.47806823947901,9.0,7346.0
08-May-2015 00:00,09-May-2015 00:00,2.91513187982174,15.0,6476.0
09-May-2015 00:00,10-May-2015 00:00,2.44354558575631,7.0,5493.0
10-May-2015 00:00,11-May-2015 00:00,6.14067879386639,3.0,13172.0
11-May-2015 00:00,12-May-2015 00:00,3.73737373737491,3.0,8202.0
12-May-2015 00:00,13-May-2015 00:00,2.01997211286094,0.0,4126.0
13-May-2015 00:00,14-May-2015 00:00,4.37903914436673,19.0,9480.0
14-May-2015 00:00,15-May-2015 00:00,1.6519461515058,3.0,3547.0
15-May-2015 00:00,16-May-2015 00:00,2.10837459238081,8.0,4292.0
16-May-2015 00:00,17-May-2015 00:00,1.63835078143665,6.0,3592.0
17-May-2015 00:00,18-May-2015 00:00,2.07023482860121,8.0,4265.0
18-May-2015 00:00,19-May-2015 00:00,6.78330425316193,34.0,16038.0
19-May-2015 00:00,20-May-2015 00:00,3.59177403960852,29.0,8087.0
20-May-2015 00:00,21-May-2015 00:00,1.00955420345186,8.0,2217.0
21-May-2015 00:00,22-May-2015 00:00,1.39870655372627,6.0,3034.0
22-May-2015 00:00,23-May-2015 00:00,3.38082473355645,16.0,7481.0
23-May-2015 00:00,24-May-2015 00:00,4.37941897547653,10.0,9776.0
24-May-2015 00:00,25-May-2015 00:00,2.02904310596808,0.0,4791.0
25-May-2015 00:00,26-May-2015 00:00,0.946764176788129,3.0,2142.0
26-May-2015 00:00,27-May-2015 00:00,2.84156461362675,15.0,6271.26477507623
27-May-2015 00:00,28-May-2015 00:00,4.57723506665999,7.0,9942.73522492377
28-May-2015 00:00,29-May-2015 00:00,3.27208477491521,26.0,7330.0
29-May-2015 00:00,30-May-2015 00:00,4.53080261274086,10.0,9906.0
30-May-2015 00:00,31-May-2015 00:00,5.40815388133357,11.0,12585.0
31-May-2015 00:00,01-Jun-2015 00:00,1.90985892388495,16.0,4027.0
01-Jun-2015 00:00,02-Jun-2015 00:00,1.62226348126937,3.0,3360.0
02-Jun-2015 00:00,03-Jun-2015 00:00,3.14006825141118,5.0,6885.0
03-Jun-2015 00:00,04-Jun-2015 00:00,6.14196219080629,3.0,13325.0
04-Jun-2015 00:00,05-Jun-2015 00:00,4.83260260080949,16.0,10163.0
05-Jun-2015 00:00,06-Jun-2015 00:00,8.01171160422968,24.0,16665.0
06-Jun-2015 00:00,07-Jun-2015 00:00,6.61267572377241,10.0,14338.0
07-Jun-2015 00:00,08-Jun-2015 00:00,4.65195135409136,6.0,9916.0
08-Jun-2015 00:00,09-Jun-2015 00:00,4.44149293128039,6.0,9676.0
09-Jun-2015 00:00,10-Jun-2015 00:00,3.48966325758828,8.0,7112.0
10-Jun-2015 00:00,11-Jun-2015 00:00,5.05552037002798,26.0,10930.0
11-Jun-2015 00:00,12-Jun-2015 00:00,3.07991916816877,4.0,6496.0
12-Jun-2015 00:00,13-Jun-2015 00:00,4.56897952513363,25.0,9559.23435786143
13-Jun-2015 00:00,14-Jun-2015 00:00,5.08379559855723,18.0,11348.3033921593
14-Jun-2015 00:00,15-Jun-2015 00:00,12.9490431116999,66.0,26165.4622499793
15-Jun-2015 00:00,16-Jun-2015 00:00,4.5490771395035,23.0,9848.0
16-Jun-2015 00:00,17-Jun-2015 00:00,4.11448391394163,16.0,8573.0
17-Jun-2015 00:00,18-Jun-2015 00:00,2.46070448580226,7.0,4822.0
18-Jun-2015 00:00,19-Jun-2015 00:00,3.5315072476739,15.0,7415.0
19-Jun-2015 00:00,20-Jun-2015 00:00,2.94808319414509,6.0,6686.0
20-Jun-2015 00:00,21-Jun-2015 00:00,5.42743875175373,5.0,11340.0
21-Jun-2015 00:00,22-Jun-2015 00:00,4.49128589630005,6.0,10585.0
22-Jun-2015 00:00,23-Jun-2015 00:00,4.66606890757905,5.0,10087.0
23-Jun-2015 00:00,24-Jun-2015 00:00,4.81946714262593,22.0,10395.0522916776
24-Jun-2015 00:00,25-Jun-2015 00:00,7.30445415698148,25.0,16177.9477083224
25-Jun-2015 00:00,26-Jun-2015 00:00,8.72961281118057,22.0,19755.0
26-Jun-2015 00:00,27-Jun-2015 00:00,8.18945483377021,19.0,16728.0
27-Jun-2015 00:00,28-Jun-2015 00:00,4.56443703545958,9.0,9512.52611777457
28-Jun-2015 00:00,29-Jun-2015 00:00,3.33210341828879,12.0,6942.47388222543
29-Jun-2015 00:00,30-Jun-2015 00:00,4.25462797263807,21.0,8835.0
30-Jun-2015 00:00,01-Jul-2015 00:00,3.61460943092255,9.0,7481.0
