Datum,Zurich
02.03.2015,13.8
03.03.2015,0.0
04.03.2015,2.6
05.03.2015,0.0
06.03.2015,0.0
07.03.2015,0.0
08.03.2015,0.0
09.03.2015,0.0
10.03.2015,0.0
11.03.2015,0.0
12.03.2015,0.0
13.03.2015,0.0
14.03.2015,0.0
15.03.2015,0.0
16.03.2015,0.0
17.03.2015,0.0
18.03.2015,0.0
19.03.2015,0.0
20.03.2015,0.0
21.03.2015,10.1
22.03.2015,0.4
23.03.2015,0.0
24.03.2015,0.0
25.03.2015,5.8
26.03.2015,1.4
27.03.2015,0.7
28.03.2015,0.1
29.03.2015,7.7
30.03.2015,20.3
31.03.2015,2.8
01.04.2015,3.8
02.04.2015,25.9
03.04.2015,1.5
04.04.2015,16.3
05.04.2015,0.0
06.04.2015,0.0
07.04.2015,0.0
08.04.2015,0.0
09.04.2015,0.0
10.04.2015,0.0
11.04.2015,0.1
12.04.2015,0.0
13.04.2015,0.0
14.04.2015,0.0
15.04.2015,0.0
16.04.2015,0.2
17.04.2015,30.6
18.04.2015,3.2
19.04.2015,0.0
20.04.2015,0.0
21.04.2015,0.0
22.04.2015,0.0
23.04.2015,0.0
24.04.2015,0.0
25.04.2015,4.2
26.04.2015,0.0
27.04.2015,18.5
28.04.2015,32.9
29.04.2015,0.0
30.04.2015,2.7
01.05.2015,45.8
02.05.2015,20.9
03.05.2015,22.9
04.05.2015,2.4
05.05.2015,10.8
06.05.2015,18.0
07.05.2015,0.0
08.05.2015,0.4
09.05.2015,0.9
10.05.2015,0.0
11.05.2015,0.0
12.05.2015,0.0
13.05.2015,0.0
14.05.2015,7.7
15.05.2015,21.9
16.05.2015,0.0
17.05.2015,0.0
18.05.2015,0.0
19.05.2015,0.6
20.05.2015,8.8
21.05.2015,0.7
22.05.2015,0.0
23.05.2015,0.0
24.05.2015,0.0
25.05.2015,5.5
26.05.2015,8.2
27.05.2015,0.0
28.05.2015,0.0
29.05.2015,1.0
30.05.2015,0.2
31.05.2015,0.0
01.06.2015,0.8
02.06.2015,0.0
03.06.2015,0.0
04.06.2015,0.0
05.06.2015,0.0
06.06.2015,4.5
07.06.2015,33.1
08.06.2015,4.5
09.06.2015,0.0
10.06.2015,0.0
11.06.2015,0.0
12.06.2015,0.0
13.06.2015,0.0
14.06.2015,15.6
15.06.2015,41.7
16.06.2015,0.4
17.06.2015,0.0
18.06.2015,8.9
19.06.2015,0.0
20.06.2015,2.5
21.06.2015,8.2
22.06.2015,9.2
23.06.2015,2.9
24.06.2015,0.0
25.06.2015,0.0
26.06.2015,0.0
27.06.2015,1.5
28.06.2015,0.0
29.06.2015,0.0
30.06.2015,0.0
01.07.2015,0.0
02.07.2015,0.0
03.07.2015,0.0
04.07.2015,0.0
05.07.2015,0.0
06.07.2015,0.8
07.07.2015,1.8
08.07.2015,0.2
09.07.2015,0.0
10.07.2015,0.0
11.07.2015,0.0
12.07.2015,0.0
13.07.2015,0.0
14.07.2015,0.0
15.07.2015,0.0
16.07.2015,0.0
17.07.2015,0.0
18.07.2015,6.0
19.07.2015,0.0
20.07.2015,0.0
21.07.2015,0.0
22.07.2015,6.0
23.07.2015,0.2
24.07.2015,5.8
25.07.2015,0.9
26.07.2015,5.7
27.07.2015,2.0
28.07.2015,0.4
29.07.2015,6.3
30.07.2015,0.0
31.07.2015,0.0
01.08.2015,2.1
02.08.2015,0.0
03.08.2015,0.0
04.08.2015,0.0
05.08.2015,0.0
06.08.2015,0.0
07.08.2015,0.0
08.08.2015,0.0
09.08.2015,7.9
10.08.2015,0.2
11.08.2015,0.0
12.08.2015,0.0
13.08.2015,0.1
14.08.2015,10.9
15.08.2015,2.9
16.08.2015,3.2
17.08.2015,0.0
18.08.2015,0.3
19.08.2015,17.1
20.08.2015,0.0
21.08.2015,0.0
22.08.2015,0.0
23.08.2015,1.0
24.08.2015,10.6
25.08.2015,0.0
26.08.2015,0.0
27.08.2015,0.0
28.08.2015,0.0
29.08.2015,0.0
30.08.2015,0.0
31.08.2015,0.0
01.09.2015,19.1
02.09.2015,0.0
03.09.2015,0.8
04.09.2015,0.1
05.09.2015,1.2
06.09.2015,0.9
07.09.2015,0.0
08.09.2015,0.0
09.09.2015,0.0
10.09.2015,0.0
11.09.2015,1.8
12.09.2015,0.0
13.09.2015,0.0
14.09.2015,4.2
15.09.2015,0.0
