Datum,PM10
01.01.17,44.1
02.01.17,24.5
03.01.17,21.1
04.01.17,13.9
05.01.17,13.3
06.01.17,22.6
07.01.17,28.4
08.01.17,27.1
09.01.17,31.6
10.01.17,17.8
11.01.17,14.8
12.01.17,12.7
13.01.17,4.6
14.01.17,6.1
15.01.17,7.3
16.01.17,15
17.01.17,13.6
18.01.17,19.2
19.01.17,34.8
20.01.17,46.3
21.01.17,45.4
22.01.17,45.5
23.01.17,53.2
24.01.17,55.7
25.01.17,63.4
26.01.17,48.5
27.01.17,56.3
28.01.17,70.6
29.01.17,45.5
30.01.17,40.4
31.01.17,24.5
01.02.17,20.1
02.02.17,16.3
03.02.17,12.4
04.02.17,5.1
05.02.17,5.5
06.02.17,13.7
07.02.17,17.4
08.02.17,21.3
09.02.17,37.5
10.02.17,41.8
11.02.17,33.6
12.02.17,34
13.02.17,36.4
14.02.17,44
15.02.17,41.8
16.02.17,31.2
17.02.17,12.2
18.02.17,20.1
19.02.17,18.9
20.02.17,19.3
21.02.17,10
22.02.17,6.2
23.02.17,14
24.02.17,10
25.02.17,17.2
26.02.17,18.7
27.02.17,19.7
28.02.17,4.1
01.03.17,4.4
02.03.17,9.4
03.03.17,13.5
04.03.17,12.9
05.03.17,3.1
06.03.17,6.8
07.03.17,6.8
08.03.17,10
09.03.17,4.2
10.03.17,11
11.03.17,13.5
12.03.17,17.6
13.03.17,17.4
14.03.17,24.5
15.03.17,31.6
16.03.17,31.7
17.03.17,30.5
18.03.17,10.9
19.03.17,4.9
20.03.17,7
21.03.17,6.1
22.03.17,7.5
23.03.17,12.7
24.03.17,21.9
25.03.17,27
26.03.17,16.2
27.03.17,18.6
28.03.17,20.1
29.03.17,17.4
30.03.17,18.7
31.03.17,22.4
01.04.17,13.7
02.04.17,9.7
03.04.17,21.5
04.04.17,24.8
05.04.17,18.5
06.04.17,21.9
07.04.17,18.6
08.04.17,24.4
09.04.17,18.2
10.04.17,20.1
11.04.17,22.4
12.04.17,20
13.04.17,15.7
14.04.17,13.5
15.04.17,14.4
16.04.17,9.6
17.04.17,12.4
18.04.17,10.4
19.04.17,12.5
20.04.17,14.4
21.04.17,16.3
22.04.17,17.5
23.04.17,12
24.04.17,15.7
25.04.17,15.1
26.04.17,7.9
27.04.17,10.5
28.04.17,15.8
29.04.17,11.6
30.04.17,8.5
01.05.17,3.6
02.05.17,6.6
03.05.17,6.1
04.05.17,8.2
05.05.17,10.2
06.05.17,13.8
07.05.17,1.5
08.05.17,11.3
09.05.17,14.6
10.05.17,14
11.05.17,14.7
12.05.17,8.9
13.05.17,6.7
14.05.17,5.6
15.05.17,6.8
16.05.17,14.1
17.05.17,18.2
18.05.17,18.6
19.05.17,4.3
20.05.17,6.4
21.05.17,8.5
22.05.17,
